WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD,cluster_label,DEX_EVENTS_MEDIAN,CEX_EVENTS_MEDIAN,BRIDGE_EVENTS_MEDIAN,DEFI_EVENTS_MEDIAN,DEX_EVENTS_WEIGHTED_DIST,CEX_EVENTS_WEIGHTED_DIST,BRIDGE_EVENTS_WEIGHTED_DIST,DEFI_EVENTS_WEIGHTED_DIST
0x6e6ce73af6717d5b0317553c8ef89925bfa667bf,151.5,8,24,80818.47,15,173,32.083552997,67.609468694,111,0,0,0,0,19,10,0,18,0,5,0,1130.6,10,28.0,2.0,19.0,13.0,-2.3502551020408164,0.0,0.03383458646616541,-0.06263736263736264
0x90cf51e0674272fe4036de83f1589e76154777aa,18.666667,3,8,19384.97,10,140,60.767931034,256.91562575,13,0,0,0,0,3,0,0,1,0,0,0,0.0,0,28.0,2.0,19.0,13.0,0.43526785714285715,0.0,0.0,0.14423076923076925
0x3abc72b5a097d9d89fdcb552c16ed811e3402cee,14.0,3,9,5619.33,11,140,24.22125,61.178251197,9,0,0,0,0,16,0,0,14,0,0,0,0.0,9,28.0,2.0,19.0,13.0,0.2442857142857143,0.0,0.0,-0.1476923076923077
0x1e4beab0bb9d7f699f05f7aff51d71b58f844484,104.0,3,12,29390.64,14,169,16.539471019,34.204463633,75,0,0,0,0,10,0,0,2,0,0,0,0.0,9,28.0,2.0,19.0,13.0,-1.48109243697479,0.0,0.0,0.027149321266968326
0x26888996885902aed6fb78d334b4fd6b875c0493,23.5,5,12,2575.56,13,127,7.214453782,33.659151507,14,0,0,0,0,3,0,0,2,0,0,0,0.0,0,28.0,2.0,19.0,13.0,0.4117647058823529,0.0,0.0,0.13574660633484165
0x3ffd821906d9d5d2d91126edccbfb9e3e776fe98,31.0,7,21,97473.24,16,132,144.833937593,570.702041056,32,0,0,0,0,23,3,0,11,0,3,0,1257.18,10,28.0,2.0,19.0,13.0,-0.07881773399014778,0.0,0.043557168784029036,-0.3050397877984085
0x6a7baf02f5e0030e1a47b23a4690d3a9d60d797c,23.333333,5,26,8268.1,13,144,28.315410959,101.114951682,9,0,0,0,0,9,0,0,2,0,0,0,0.0,9,28.0,2.0,19.0,13.0,0.3392857142857143,0.0,0.0,0.15384615384615385
0x6ab07b4dfba4becb931fed31ebd1d47d29cc4ef4,14.0,5,11,17261.42,13,124,73.766752137,202.305340411,9,0,0,0,0,1,0,0,4,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,0.6107142857142858,0.0,0.0,0.09230769230769231
0x334ee938383c4903519f145d7ff8b6ceb55b67d9,61.0,5,15,12851.81,12,178,10.406323887,14.236206675,57,0,0,0,0,3,0,0,7,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,-0.9839285714285715,0.0,0.0,0.038461538461538464
0xe987181d8ed34deeb3f32c4cb047b2fcb48feb1d,20.833333,3,10,62009.05,13,120,284.445183486,1214.144554589,7,0,0,0,0,8,0,0,9,0,0,0,0.0,9,28.0,2.0,19.0,13.0,0.35,0.0,0.0,0.20512820512820515
0xfad1a1a8a0eb7be1715bd044fd9146855ba54634,35.833333,6,16,31262.47,14,115,101.173042071,306.086793152,5,0,0,0,0,32,0,0,25,0,0,0,0.0,9,28.0,2.0,19.0,13.0,0.111003861003861,0.0,0.0,-1.264033264033264
0x33a8b5dceeb5b0a8490b39f50edf9424a78474b2,25.833333,4,13,46472.05,14,129,94.840918367,159.514256103,21,0,0,0,0,13,0,0,4,0,0,0,0.0,9,28.0,2.0,19.0,13.0,0.15441176470588236,0.0,0.0,0.0
0x0493e5b2582cddc0affbc4c9ab9ae559cbc433e8,16.166667,3,10,12927.13,11,105,40.779589905,72.399484305,13,0,0,0,0,8,0,0,5,0,0,0,0.0,9,28.0,2.0,19.0,13.0,0.33163265306122447,0.0,0.0,0.14652014652014653
0x9f8062eab825adfb2c589a3c07c6e49461704cb2,11.666667,3,12,3688.9,10,141,28.376153846,35.567168512,4,0,0,0,0,8,0,0,1,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,0.2857142857142857,0.0,0.0,0.2564102564102564
0xb9fc939c517e7cab3bd848e4e118edae5bfd9cee,56.833333,7,13,393971.94,13,132,307.310405616,1928.95407418,79,0,0,0,0,79,1,0,30,0,0,0,0.0,8,28.0,2.0,19.0,13.0,-0.9049865229110512,0.0,0.005958291956305859,-2.5224963715529753
0x2a9a449341a8d18763430d20edd317a7780a2290,55.5,8,27,23550.14,13,122,25.160405983,107.603055314,42,0,0,0,0,4,2,0,4,0,0,0,0.0,10,28.0,2.0,19.0,13.0,-0.4375,0.0,0.03728070175438596,0.05769230769230769
0x2d9a7086c4b5b63cc3d8d02215cfdd49cfad7c3e,104.833333,3,10,49355.89,10,142,23.525209724,52.449837163,93,0,0,0,0,3,0,0,6,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,-2.248883928571429,0.0,0.0,0.02403846153846154
0x0a0826d68ea8e4009f18edac3362516eed06d99d,4.5,3,9,1228.64,10,52,35.104,39.035207273,4,0,0,0,0,4,0,0,2,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,0.42857142857142855,0.0,0.0,0.34615384615384615
0x564ac4435a925c0dec1d77eff470bb04a0ad4a8d,22.333333,4,24,28964.7,13,144,130.471621622,276.082916291,5,0,0,0,0,6,0,0,10,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,0.37337662337662336,0.0,0.0,0.2937062937062937
0x1c4d9f79d96862da16819bd64f4f6d718a52fb27,45.166667,5,11,9178.09,10,128,11.842696774,34.515854643,34,0,0,0,0,3,3,0,1,0,3,0,591.6,10,28.0,2.0,19.0,13.0,-0.18214285714285713,0.0,0.0631578947368421,0.057692307692307696
